NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
JIN NIU ZUO,05M3003,9303699,"Oil Tanker, Double Hull",228.6,217,32.26,21.1,14.7,"43,153","22,236","75,493",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9303699
SHENG HANG HUA 10,09V0271,9563639,"Chemical/Oil Tanker, Double Hull",120.11,112,18,9.4,6.6,"5,614","2,538","8,125",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9563639
CHANG HANG XING YUN,07J0158,9352250,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,588","12,469","45,717",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9352250
YOU SHEN 3,11F0267,9596466,"Chemical/Oil Tanker, Double Hull",103.09,96.5,16,8.8,7.4,"4,608","2,175","7,052",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9596466
LIAN XING HU,06E3001,9344825,"Oil Tanker, Double Hull",228.6,217,32.26,21.1,14.7,"43,153","22,236","75,504",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9344825
HE ZHONG 1,14E0166,9711884,"Chemical/Oil Tanker, Double Hull",85,80,13.2,6.2,4.8,"2,028",756,"2,440",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9711884
Y L W,07A0219,9360398,"Oil Tanker, Double Hull/Asphalt Carrier(Independent Tank,Maximum Cargo Temperature≤200℃)",106.84,101.5,17.6,10.1,6.5,"5,530","1,659","6,012",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9360398
XING HAI HUA 728,09X0181,9563500,"Oil Tanker, Double Hull",150,140.4,23,12.5,8.8,"11,656","5,109","17,204",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9563500
SU RUI 169,96Y3308,9142966,Liquefied Gas Carrier,99.93,94.9,19.6,7.7,5.7,"4,484","1,346","5,243",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9142966
JIN HAI YING,20D0011,9907122,"Chemical/Oil Tanker, Double Hull",129,125,22,11.8,8.5,"9,681","4,089","13,692",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9907122
HONG DA 27,10F0193,9349083,"Chemical/Oil Tanker, Double Hull",134.85,126,22,10.6,7.58,"8,525","3,829","12,000",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9349083
GUI YING,19P0338,9878888,LNG Carrier,295,288.58,45,26.25,11.5,"114,790","37,327","91,497",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9878888
PING HAI WAN,09M0171,9558579,"Asphalt Carrier(Independent Tank,Maximum Cargo Temperature≤200℃)/Oil Tanker",106.99,101.5,17.6,10.1,6.5,"5,565","1,669","6,115",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9558579
TONG DE YUAN,07L0183,9491446,Liquefied Gas Carrier,99,92,16.4,7.2,4.4,"3,790","1,137","2,706",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9491446
HENG YU 6,10H0126,9517032,"Chemical/Oil Tanker, Double Hull",142.6,135,20.8,11.2,8.4,"8,782","4,479","13,674",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9517032
CS HUNAN VENTURE,19U0527,9902627,"Oil Tanker, Double Hull",332.54,326.4,59.98,30,20.5,"163,262","101,971","307,943",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9902627
HOI HUNG NO.2,13F0185,9719173,"Chemical/Oil Tanker, Double Hull",35,33,9,4.2,2.6,338,101,423,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9719173
NEW CAESAR,16B0012,9706401,"Oil Tanker, Double Hull",332.95,323.6,60,30.5,20.5,"165,571","104,179","313,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9706401
TENG CHI,05R1006,9306720,"Oil Tanker, Double Hull",187.8,178,31.5,16.8,11.3,"26,955","11,381","42,047",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9306720
YUAN JU WAN,18Q0449,9845958,"Oil Tanker, Double Hull",249.99,245.4,44,21.5,13.7,"64,572","34,231","109,899",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9845958
CSC PROGRESS,07H0088,9344136,"Oil Tanker, Double Hull",184.95,176,32.2,18.2,10.2,"29,593","12,466","45,791",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9344136
NING HUA 423,11V0051,9596909,Chemical Tanker,105.06,99,17.5,8,6,"4,359","1,852","6,553",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9596909
YUAN YU HE,19T0572,9896256,"Oil Tanker, Double Hull, F.P.≤60℃",182.9,178.5,32.26,18.2,11,"29,861","14,094","49,842",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9896256
YIN ZHU HAO,07T0006,9351854,Liquefied Gas Carrier,96,88.6,14.4,7,5.3,"2,861",873,"2,654",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9351854
SHAN REN,10U0068,9474606,"Chemical/Oil Tanker, Double Hull",104.95,99,17.5,8,6,"4,289","1,843","6,575",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9474606
PAN AMERICAS,18F0026,9750232,LNG Carrier,290,284,46.95,26.25,11.5,"114,996","34,498","88,425",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9750232
RONG CHI,12H0090,9611620,"Oil Tanker, Double Hull",184.88,176,32.2,18.6,11,"30,325","12,927","48,698",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9611620
PAN EUROPE,18A0136,9750244,LNG Carrier,290,284,46.95,26.25,11.5,"114,996","34,498","88,407",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9750244
HAI GONG YOU 306,99W1021,9150614,"Oil Tanker, Double Hull",144.05,133.8,23,12.4,8.4,"11,375","4,913","16,376",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9150614
NIAN CHI,08V0174,9342085,"Oil Tanker, Double Hull",187.8,178,31.5,16.8,10.5,"26,992","11,381","41,956",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9342085
YUN XIANG 9,12Q0120,9651060,"Chemical/Oil Tanker, Double Hull",96.17,89.8,15.2,7,5.6,"2,984","1,427","4,395",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9651060
AMBRIELLE,16L0021,9779109,"Oil Tanker, Double Hull",81.7,76.8,13.4,6.2,4.2,"1,934",580,"2,019",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9779109
LIAN SHUN HU,05E2007,9308986,"Oil Tanker, Double Hull",229,219,32.2,20.2,14.35,"40,996","22,187","71,956",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9308986
NEW VOYAGE,15F0126,9686364,"Oil Tanker, Double Hull",332.95,323.6,60,30.5,20.5,"165,541","104,040","313,990",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9686364
XIN MING LONG,98H4016,9196450,Liquefied Gas Carrier,95.5,88.5,16.6,7.1,4.51,"3,549","1,064","2,999",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9196450
NAVE UNIVERSE,11X0145,9515931,"Oil Tanker, Double Hull",330,316,60,29.7,19.2,"157,036","99,050","296,744",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9515931
BANG YANG 19,11F0336,9626352,"Chemical/Oil Tanker, Double Hull",96.5,89.8,15,7,5.4,"2,961","1,238","4,186",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9626352
DELTA KANARIS,10T0504,9429015,"Oil Tanker, Double Hull",274.27,264,48,23.1,16,"81,360","52,692","157,563",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9429015
DONG RUN 17,12W0218,9655262,"Chemical/Oil Tanker, Double Hull",96.17,89.8,15.2,7,5.6,"2,984","1,427","4,429",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9655262
HAI YANG SHI YOU 121,05D4007,9308455,Ship Type,268.23,233,42,21.9,12,"61,918","33,372","107,224",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9308455
HUA NAN 2,11J0293,9584528,Liquefied Gas Carrier,99.99,92.5,15.2,7.2,5.3,"3,313",994,"3,221",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9584528
FENG FAN 17,08Q0146,9097551,"Chemical/Oil Tanker, Double Hull",117.28,108,18,9,7,"5,199","2,416","7,967",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9097551
FU LONG 33,12D0086,9641041,Liquefied Gas Carrier,109.6,102,18,7.8,5.6,"4,614","1,384","4,344",https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9641041
YIU FU 3,19W0529,9900629,"Oil Tanker, Double Hull",25.5,23.9,12.5,5.6,4,494,163,488,https://www.ccs.org.cn/ccswzen/internationalShipsList?columnid=201900002000000123&imono=9900629
