NAME,REGISTER,IMO,TYPE,LOA,LPP,B,H,T,GT,NT,DWT,Link
ARKLOW VALIANT,27827Y,9772541,General cargo ship,86.93,84.98,15,7.17,6.35,2999,1731,5169,https://www.vesselfinder.com/vessels/details/9772541
YEBA,04441E,9045728,General cargo ship,117.58,16.4,9.6,7.15,2467,5458,8026,125.15,https://www.vesselfinder.com/vessels/details/9045728
UGUR DADAYLI,14086N,9554145,General cargo ship,93.63,84.73,14.55,6.08,1533,2976,1843,4400,https://www.vesselfinder.com/vessels/details/9554145
LIMA VALERIE,43243F,9371983,Multi-purpose cargo ship,110,19.7,8.5,6.45,2072,5316,7697,117,https://www.vesselfinder.com/vessels/details/9371983
HUNTER 1,30053T,9311892,General cargo ship,139.55,134,16.5,6,4.6,5684,3230,6933,https://www.vesselfinder.com/vessels/details/9311892
ALDONA,941D87,8857083,Cargo ship,60.35,53.8,8.8,3.3,2.25,497,204,395,https://www.vesselfinder.com/vessels/details/8857083
ARKLOW MILL,12642T,9440265,Cargo ship,136.5,128.74,21,11.4,8.48,9758,5240,15008,https://www.vesselfinder.com/vessels/details/9440265
FLEVOGRACHT,42126R,9509956,General cargo ship,137.07,128.94,18.9,11.65,8.52,8620,4398,12086,https://www.vesselfinder.com/vessels/details/9509956
KOTA BISTARI,25161B,9695107,General cargo ship,179.5,169.5,27.2,10.5,4032,20886,11064,27263,https://www.vesselfinder.com/vessels/details/9695107
SINGELGRACHT,42093F,9197375,PCGM,168.14,159.14,25.2,14.6,10.71,16641,6700,21402,https://www.vesselfinder.com/vessels/details/9197375
PRIMA LADY,14501P,9195652,OJTT,89,84.8,12.5,7.6,5.41,2548,1282,3622,https://www.vesselfinder.com/vessels/details/9195652
BBC PERU,32370M,9549592,General cargo ship,146.14,136.99,20.1,11.45,8.25,9963,4937,13537,https://www.vesselfinder.com/vessels/details/9549592
HAAFJELL,39N940,9148207,Cargo / Container ship,83.69,13.3,7.15,5.67,1195,2768,3714,89.1,https://www.vesselfinder.com/vessels/details/9148207
WESTERN ROCK,27759A,9827554,General cargo ship,92.2,84.98,14,10,5,2957,887,3152,https://www.vesselfinder.com/vessels/details/9827554
ALISUVAR MAMMADOV,30055V,9338670,General cargo ship,139.55,134,16.5,6,4.6,5684,3230,6933,https://www.vesselfinder.com/vessels/details/9338670
LONGVIND,14532X,9547336,PBXX,114.4,108.32,14.4,8.1,6.04,4255,2341,6000,https://www.vesselfinder.com/vessels/details/9547336
FLEVOBORG,12478Q,9419292,Cargo / Container ship,142.8,136.33,17.2,8.3,3401,8911,4419,14603,https://www.vesselfinder.com/vessels/details/9419292
THURAYA-1,27405Q,9762285,Deck ship,60.3,14,3.65,2.7,971,929,278,64,https://www.vesselfinder.com/vessels/details/9762285
ERGE,28716Q,9508603,General cargo ship,89.95,84.95,15.4,7.6,6.46,2993,1535,5652,https://www.vesselfinder.com/vessels/details/9508603
VARDEFJELL,24817C,9197806,General cargo ship,82.5,78.9,12.4,6.7,5.3,2306,1385,3171,https://www.vesselfinder.com/vessels/details/9197806
SITHONIA II,41480P,9455571,General cargo ship,111.89,103.3,18.6,9.5,7.5,5321,3065,8790,https://www.vesselfinder.com/vessels/details/9455571
OSTBENSE,15611V,9566784,General cargo ship,125.79,119.4,14.4,9.31,6.5,5044,2718,7300,https://www.vesselfinder.com/vessels/details/9566784
APOLLO STELLA,20182P,9612478,General cargo ship,118.82,111.5,21.2,14.3,8.51,9642,3728,12300,https://www.vesselfinder.com/vessels/details/9612478
MINERVAGRACHT,42111A,9571521,General cargo ship,142.06,132.69,18.9,11.65,8.4,9524,4402,12232,https://www.vesselfinder.com/vessels/details/9571521
